image,width,height,method,psnr,original_bytes,compressed_bytes,compression_ratio,bpp,time_encoding_ms,total_time_ms
6.png,768,512,raw,32.81717915845752,1179648,884736.0,1.3333333333333333,18.0,134.22417640686035,300.4631996154785
6.png,768,512,rle,32.81717915845752,1179648,150144.0,7.856777493606138,3.0546875,162.7509593963623,356.30202293395996
6.png,768,512,huff,32.81717915845752,1179648,31563.75,37.373505999762386,0.6421661376953125,257.8461170196533,475.53515434265137
6.png,768,512,huff_global,32.81717915845752,1179648,55026.625,21.437767626126444,1.119519551595052,255.5849552154541,476.7189025878906
6.png,768,512,huff_dpcm,32.81717915845752,1179648,30075.625,39.22272604476216,0.6118901570638021,256.9749355316162,470.6606864929199
7.png,768,512,raw,35.037452371225626,1179648,884736.0,1.3333333333333333,18.0,133.7447166442871,298.0051040649414
7.png,768,512,rle,35.037452371225626,1179648,107576.0,10.96571726035547,2.1886393229166665,157.85717964172363,355.0679683685303
7.png,768,512,huff,35.037452371225626,1179648,21344.75,55.26642382787337,0.4342600504557292,231.55784606933594,438.88115882873535
7.png,768,512,huff_global,35.037452371225626,1179648,41637.625,28.331298915343996,0.8471196492513021,245.74732780456543,457.14592933654785
7.png,768,512,huff_dpcm,35.037452371225626,1179648,20366.25,57.921708709261644,0.4143524169921875,226.86505317687988,434.586763381958
8.png,768,512,raw,31.578179810604098,1179648,884736.0,1.3333333333333333,18.0,140.93995094299316,307.4193000793457
8.png,768,512,rle,31.578179810604098,1179648,196964.0,5.989155378647875,4.007242838541667,172.73712158203125,372.04790115356445
8.png,768,512,huff,31.578179810604098,1179648,43801.75,26.93152670840777,0.8911488850911459,292.7732467651367,521.7421054840088
8.png,768,512,huff_global,31.578179810604098,1179648,73488.625,16.05211690924956,1.495129903157552,270.40696144104004,506.61611557006836
8.png,768,512,huff_dpcm,31.578179810604098,1179648,42870.5,27.516544010450076,0.8722025553385416,305.35197257995605,534.8160266876221
9.png,512,768,raw,35.45302911100139,1179648,884736.0,1.3333333333333333,18.0,133.42905044555664,298.9623546600342
9.png,512,768,rle,35.45302911100139,1179648,88754.0,13.2912094102801,1.8057047526041667,156.24022483825684,349.85995292663574
9.png,512,768,huff,35.45302911100139,1179648,17116.625,68.91825929469157,0.34823862711588544,220.6096649169922,423.24209213256836
9.png,512,768,huff_global,35.45302911100139,1179648,34901.0,33.79983381564998,0.7100626627604166,243.2088851928711,450.700044631958
9.png,512,768,huff_dpcm,35.45302911100139,1179648,16149.875,73.04378516861586,0.32857004801432294,214.3421173095703,416.98408126831055
lena.png,512,512,raw,33.29787931792239,786432,589824.0,1.3333333333333333,18.0,88.81306648254395,200.6547451019287
lena.png,512,512,rle,33.29787931792239,786432,69828.0,11.26241622271868,2.1309814453125,105.10611534118652,232.4533462524414
lena.png,512,512,huff,33.29787931792239,786432,13491.125,58.29254417255788,0.4117164611816406,154.8631191253662,291.90969467163086
lena.png,512,512,huff_global,33.29787931792239,786432,26801.75,29.34256158646357,0.8179244995117188,164.44778442382812,304.9311637878418
lena.png,512,512,huff_dpcm,33.29787931792239,786432,13110.125,59.98661339994851,0.4000892639160156,147.36104011535645,285.4337692260742
