image,width,height,method,psnr,time_idct_ms,time_total_ms,time_dct_ms,time_upsample_ms
17.png,512,768,aan,27.76758914855027,285.26806831359863,983.6165904998779,598.2475280761719,3.0100345611572266
18.png,512,768,baseline,32.37775062646151,362.6437187194824,1122.570276260376,660.5789661407471,3.4012794494628906
18.png,512,768,vectorized,32.37775062646151,256.9851875305176,1001.1935234069824,645.0915336608887,2.0203590393066406
18.png,512,768,direct,32.37775062646151,269.72198486328125,1019.7908878326416,651.0353088378906,2.509593963623047
18.png,512,768,separable,32.37775062646151,27899.211168289185,28635.860204696655,642.2898769378662,2.511262893676758
18.png,512,768,lut,32.37775062646151,96725.43382644653,97491.98246002197,667.2296524047852,2.9234886169433594
18.png,512,768,fft,28.98365313810222,2412.0755195617676,3163.6204719543457,656.8598747253418,2.5179386138916016
18.png,512,768,aan,27.646544871070127,309.73291397094727,1060.054063796997,657.2041511535645,2.0017623901367188
19.png,512,768,baseline,33.556500247055496,355.5169105529785,1057.3160648345947,606.4026355743408,2.070903778076172
19.png,512,768,vectorized,33.556500247055496,241.2886619567871,967.7319526672363,629.378080368042,2.9997825622558594
19.png,512,768,direct,33.556500247055496,247.77460098266602,926.0284900665283,585.8249664306641,2.588033676147461
19.png,512,768,separable,33.556500247055496,28119.994401931763,28821.95782661438,608.8354587554932,3.000020980834961
19.png,512,768,lut,33.556500247055496,96365.91362953186,97063.53831291199,602.475643157959,2.5610923767089844
19.png,512,768,fft,29.756668662074457,2331.557273864746,3001.0290145874023,574.9728679656982,2.912759780883789
19.png,512,768,aan,28.03687615995356,287.34612464904785,984.7157001495361,604.285717010498,3.0112266540527344
2.png,768,512,baseline,33.79089516023136,349.4372367858887,996.2198734283447,552.9294013977051,2.1953582763671875
2.png,768,512,vectorized,33.79089516023136,247.24650382995605,926.2597560882568,582.7121734619141,3.390789031982422
2.png,768,512,direct,33.79089516023136,244.215726852417,897.397518157959,559.5684051513672,1.0001659393310547
2.png,768,512,separable,33.79089516023136,28085.9694480896,28774.49059486389,591.8943881988525,3.5431385040283203
2.png,768,512,lut,33.79089516023136,96732.31554031372,97405.69067001343,577.3241519927979,2.567291259765625
2.png,768,512,fft,30.099492133597167,2444.3061351776123,3104.3081283569336,565.1209354400635,1.8031597137451172
2.png,768,512,aan,27.440796788814637,287.0955467224121,961.0416889190674,576.8551826477051,3.0012130737304688
20.png,768,512,baseline,35.006464647200836,341.77470207214355,978.5692691802979,540.0173664093018,3.231048583984375
20.png,768,512,vectorized,35.006464647200836,234.15803909301758,868.2787418365479,538.5253429412842,3.000497817993164
20.png,768,512,direct,35.006464647200836,238.13533782958984,902.1613597869873,569.7848796844482,2.3298263549804688
20.png,768,512,separable,35.006464647200836,28053.410053253174,28705.217599868774,556.2653541564941,2.0728111267089844
20.png,768,512,lut,35.006464647200836,96414.87741470337,97056.17070198059,544.5513725280762,2.0995140075683594
20.png,768,512,fft,31.79990920267375,2423.1956005096436,3070.512294769287,553.6036491394043,3.0357837677001953
20.png,768,512,aan,29.318416693365652,271.9438076019287,946.9060897827148,577.7080059051514,2.052783966064453
