image,width,height,downsample_method,upsample_method,entropy_method,psnr,original_bytes,compressed_bytes,compression_ratio,bpp,time_downsample_ms,time_upsample_ms,time_encoding_ms,total_time_ms
21.png,768,512,baseline,baseline,baseline,33.376769771501536,1179648,116723.25,10.106366983441601,2.3747406005859375,12.033224105834961,0.0,702.4283409118652,1089.484691619873
21.png,768,512,nearest,baseline,baseline,33.33784267348478,1179648,116887.25,10.092187129049575,2.378077189127604,0.0,0.0,527.172327041626,967.587947845459
21.png,768,512,average,baseline,baseline,33.376769771501536,1179648,116723.25,10.106366983441601,2.3747406005859375,10.046005249023438,0.0,611.8104457855225,1017.6310539245605
22.png,768,512,baseline,baseline,baseline,33.168847276153805,1179648,121749.5,9.689140407147462,2.4769999186197915,11.815071105957031,0.0,581.8147659301758,968.0018424987793
22.png,768,512,nearest,baseline,baseline,33.123055963843456,1179648,122054.75,9.66490857586452,2.483210245768229,0.0,0.0,557.0335388183594,958.6477279663086
22.png,768,512,average,baseline,baseline,33.168847276153805,1179648,121749.5,9.689140407147462,2.4769999186197915,9.993553161621094,16.649723052978516,538.2604598999023,951.0014057159424
23.png,768,512,baseline,baseline,baseline,35.91661771509859,1179648,82252.625,14.341767208037433,1.6734339396158855,9.824037551879883,0.0,537.1825695037842,954.9953937530518
23.png,768,512,nearest,baseline,baseline,35.8438103622468,1179648,82264.5,14.339696953120727,1.673675537109375,0.0,0.0,599.7321605682373,973.926305770874
23.png,768,512,average,baseline,baseline,35.91661771509859,1179648,82252.625,14.341767208037433,1.6734339396158855,3.9937496185302734,0.0,465.3940200805664,866.1625385284424
24.png,768,512,baseline,baseline,baseline,32.79682583019154,1179648,142098.0,8.301650973271967,2.8909912109375,12.710809707641602,0.0,590.6181335449219,984.3366146087646
24.png,768,512,nearest,baseline,baseline,32.765764302088755,1179648,142479.5,8.279422653785282,2.8987528483072915,0.0,1.7511844635009766,566.5221214294434,966.3333892822266
24.png,768,512,average,baseline,baseline,32.79682583019154,1179648,142098.0,8.301650973271967,2.8909912109375,2.9993057250976562,16.627788543701172,599.2836952209473,984.4183921813965
3.png,768,512,baseline,baseline,baseline,35.635469137873564,1179648,87257.625,13.519139444833618,1.7752609252929688,5.683660507202148,0.0,473.832368850708,850.3463268280029
3.png,768,512,nearest,baseline,baseline,35.56646446217747,1179648,87359.5,13.503373989091054,1.7773335774739583,0.0,0.0,474.64966773986816,867.6159381866455
3.png,768,512,average,baseline,baseline,35.635469137873564,1179648,87257.625,13.519139444833618,1.7752609252929688,6.005048751831055,0.0,522.0050811767578,917.4470901489258
4.png,512,768,baseline,baseline,baseline,34.1399006404665,1179648,104676.0,11.269517367878024,2.129638671875,15.459060668945312,0.0,537.132740020752,934.3907833099365
4.png,512,768,nearest,baseline,baseline,34.0706534390107,1179648,104822.75,11.25374024245691,2.132624308268229,0.0,0.0,562.6082420349121,934.2186450958252
4.png,512,768,average,baseline,baseline,34.1399006404665,1179648,104676.0,11.269517367878024,2.129638671875,9.869575500488281,17.018795013427734,520.0185775756836,885.6520652770996
5.png,768,512,baseline,baseline,baseline,31.680160466409024,1179648,178033.75,6.625979624649821,3.622105916341146,9.131908416748047,0.0,659.0769290924072,1074.373483657837
5.png,768,512,nearest,baseline,baseline,31.636948366107593,1179648,178541.75,6.607126904491526,3.632441202799479,0.0,0.0,635.9236240386963,1020.5628871917725
5.png,768,512,average,baseline,baseline,31.680160466409024,1179648,178033.75,6.625979624649821,3.622105916341146,10.803699493408203,0.0,658.1292152404785,1067.8138732910156
6.png,768,512,baseline,baseline,baseline,32.81717915845752,1179648,132629.0,8.894344374156482,2.6983439127604165,11.933565139770508,0.0,570.7383155822754,980.522632598877
6.png,768,512,nearest,baseline,baseline,32.7851611822967,1179648,132834.5,8.880584486710907,2.7025248209635415,0.0,13.904809951782227,578.6147117614746,967.7457809448242
6.png,768,512,average,baseline,baseline,32.81717915845752,1179648,132629.0,8.894344374156482,2.6983439127604165,4.999637603759766,0.0,598.0117321014404,997.8029727935791
7.png,768,512,baseline,baseline,baseline,35.037452371225626,1179648,103517.75,11.395610897647988,2.106074015299479,0.0,0.0,531.5749645233154,917.3338413238525
7.png,768,512,nearest,baseline,baseline,34.9432877292677,1179648,103854.125,11.358701447824052,2.1129175821940103,0.0,16.83783531188965,522.519588470459,868.9920902252197
7.png,768,512,average,baseline,baseline,35.037452371225626,1179648,103517.75,11.395610897647988,2.106074015299479,17.17686653137207,16.847848892211914,532.9368114471436,900.85768699646
8.png,768,512,baseline,baseline,baseline,31.578179810604098,1179648,171625.875,6.873369181657486,3.4917373657226562,8.839607238769531,0.0,639.8015022277832,1045.569658279419
8.png,768,512,nearest,baseline,baseline,31.54039211659994,1179648,172030.75,6.857192682122236,3.499974568684896,0.0,16.57724380493164,638.1473541259766,1017.8060531616211
8.png,768,512,average,baseline,baseline,31.578179810604098,1179648,171625.875,6.873369181657486,3.4917373657226562,4.008054733276367,16.81661605834961,662.9023551940918,1051.0056018829346
9.png,512,768,baseline,baseline,baseline,35.45302911100139,1179648,86868.125,13.57975667139126,1.7673365275065105,12.445449829101562,1.2722015380859375,485.4736328125,878.8125514984131
9.png,512,768,nearest,baseline,baseline,35.42800366464377,1179648,86909.375,13.573311279709467,1.768175760904948,0.0,0.0,474.1175174713135,867.6056861877441
9.png,512,768,average,baseline,baseline,35.45302911100139,1179648,86868.125,13.57975667139126,1.7673365275065105,4.997014999389648,17.001628875732422,460.7281684875488,834.0897560119629
Lena.png,512,512,baseline,baseline,baseline,33.29787931792239,786432,68268.25,11.519732818696832,2.0833816528320312,14.131784439086914,0.0,342.96512603759766,599.2565155029297
Lena.png,512,512,nearest,baseline,baseline,33.208915495237285,786432,68471.75,11.485495843176201,2.0895919799804688,0.0,0.0,363.54851722717285,610.4578971862793
Lena.png,512,512,average,baseline,baseline,33.29787931792239,786432,68268.25,11.519732818696832,2.0833816528320312,0.0,1.5323162078857422,333.85157585144043,600.517749786377
