image,width,height,quality,entropy_method,psnr,original_bytes,compressed_bytes,compression_ratio,bpp,time_encoding_ms,total_time_ms
7.png,768,512,70,huff,28.14042592994765,1179648,201415.875,5.856777674550231,4.097816467285156,670.111894607544,1022.8960514068604
7.png,768,512,90,huff,27.763136129667288,1179648,278161.25,4.240878267551645,5.6592051188151045,713.6151790618896,1102.924108505249
8.png,768,512,30,huff,30.7626178545299,1179648,30922.375,38.1486868327546,0.6291173299153646,253.0510425567627,461.3640308380127
8.png,768,512,50,huff,28.698342804132707,1179648,165015.625,7.148704857494556,3.3572514851888022,515.5129432678223,821.4869499206543
8.png,768,512,70,huff,28.07600910381261,1179648,201849.5,5.8441957993455524,4.106638590494792,564.6700859069824,908.10227394104
8.png,768,512,90,huff,27.76490409222721,1179648,279260.75,4.224181164019648,5.6815745035807295,712.9530906677246,1100.322961807251
9.png,512,768,30,huff,34.31698030635114,1179648,12154.75,97.05242806310291,0.24728902180989584,201.2648582458496,394.9160575866699
9.png,512,768,50,huff,29.251538413966504,1179648,162386.5,7.264446243991958,3.3037618001302085,575.7172107696533,877.4247169494629
9.png,512,768,70,huff,28.129488533702446,1179648,200364.625,5.88750634000388,4.076428731282552,552.1290302276611,886.7909908294678
9.png,512,768,90,huff,27.761547762920614,1179648,277421.25,4.252190486489409,5.6441497802734375,695.2981948852539,1080.6689262390137
lena.png,512,512,30,huff,32.60585744889373,786432,9240.25,85.10938556857228,0.28199005126953125,137.47382164001465,268.68700981140137
lena.png,512,512,50,huff,28.798613794067144,786432,111157.875,7.074910347107661,3.3922691345214844,387.6199722290039,590.9240245819092
lena.png,512,512,70,huff,28.037755960680308,786432,129461.125,6.0746575468118325,3.9508399963378906,355.266809463501,575.1421451568604
lena.png,512,512,90,huff,27.744442213093482,786432,184748.125,4.25677933131933,5.638065338134766,476.1788845062256,732.4647903442383
